season,stage,week,match_id,official_match_id,scheduled_at,team_a_id,team_b_id,team_a_franchise_slot_id,team_b_franchise_slot_id,team_a_score,team_b_score,winner_team_id,winner_side,best_of,status,observed_at,source_url
18,regular_season,1,S18-RS-1036,1036,2026-08-14 15:00:00+07:00,EVOS,RRQ,MPLID_SLOT_EVOS,MPLID_SLOT_RRQ,2,0,EVOS,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,1,S18-RS-1037,1037,2026-08-14 18:00:00+07:00,NAVI,AE,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,MPLID_SLOT_ALTER_EGO,0,2,AE,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,1,S18-RS-1038,1038,2026-08-15 14:00:00+07:00,TLID,GEEK,MPLID_SLOT_AURA_LIQUID,MPLID_SLOT_GEEK,2,1,TLID,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,1,S18-RS-1039,1039,2026-08-15 17:00:00+07:00,DEWA,RRQ,MPLID_SLOT_DEWA,MPLID_SLOT_RRQ,1,2,RRQ,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,1,S18-RS-1040,1040,2026-08-15 20:00:00+07:00,EVOS,NAVI,MPLID_SLOT_EVOS,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,1,2,NAVI,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,1,S18-RS-1041,1041,2026-08-16 14:00:00+07:00,TLID,DEWA,MPLID_SLOT_AURA_LIQUID,MPLID_SLOT_DEWA,2,0,TLID,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,1,S18-RS-1042,1042,2026-08-16 17:00:00+07:00,BTR,GEEK,MPLID_SLOT_BIGETRON,MPLID_SLOT_GEEK,2,1,BTR,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,1,S18-RS-1043,1043,2026-08-16 20:00:00+07:00,AE,ONIC,MPLID_SLOT_ALTER_EGO,MPLID_SLOT_ONIC,0,2,ONIC,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1044,1044,2026-08-21 15:00:00+07:00,TLID,NAVI,MPLID_SLOT_AURA_LIQUID,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,0,2,NAVI,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1045,1045,2026-08-21 18:00:00+07:00,BTR,DEWA,MPLID_SLOT_BIGETRON,MPLID_SLOT_DEWA,2,0,BTR,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1046,1046,2026-08-22 14:00:00+07:00,TLID,EVOS,MPLID_SLOT_AURA_LIQUID,MPLID_SLOT_EVOS,2,0,TLID,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1047,1047,2026-08-22 17:00:00+07:00,NAVI,GEEK,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,MPLID_SLOT_GEEK,2,1,NAVI,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1048,1048,2026-08-22 20:00:00+07:00,ONIC,RRQ,MPLID_SLOT_ONIC,MPLID_SLOT_RRQ,2,0,ONIC,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1049,1049,2026-08-23 14:00:00+07:00,DEWA,AE,MPLID_SLOT_DEWA,MPLID_SLOT_ALTER_EGO,0,2,AE,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1050,1050,2026-08-23 17:00:00+07:00,ONIC,BTR,MPLID_SLOT_ONIC,MPLID_SLOT_BIGETRON,1,2,BTR,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,2,S18-RS-1051,1051,2026-08-23 20:00:00+07:00,GEEK,EVOS,MPLID_SLOT_GEEK,MPLID_SLOT_EVOS,0,2,EVOS,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1052,1052,2026-08-28 15:00:00+07:00,BTR,NAVI,MPLID_SLOT_BIGETRON,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,2,0,BTR,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1053,1053,2026-08-28 18:00:00+07:00,DEWA,GEEK,MPLID_SLOT_DEWA,MPLID_SLOT_GEEK,2,0,DEWA,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1054,1054,2026-08-29 14:00:00+07:00,TLID,ONIC,MPLID_SLOT_AURA_LIQUID,MPLID_SLOT_ONIC,2,1,TLID,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1055,1055,2026-08-29 17:00:00+07:00,AE,EVOS,MPLID_SLOT_ALTER_EGO,MPLID_SLOT_EVOS,2,0,AE,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1056,1056,2026-08-29 20:00:00+07:00,RRQ,BTR,MPLID_SLOT_RRQ,MPLID_SLOT_BIGETRON,1,2,BTR,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1057,1057,2026-08-30 14:00:00+07:00,NAVI,ONIC,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,MPLID_SLOT_ONIC,2,0,NAVI,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1058,1058,2026-08-30 17:00:00+07:00,GEEK,RRQ,MPLID_SLOT_GEEK,MPLID_SLOT_RRQ,0,2,RRQ,team_b,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,3,S18-RS-1059,1059,2026-08-30 20:00:00+07:00,TLID,AE,MPLID_SLOT_AURA_LIQUID,MPLID_SLOT_ALTER_EGO,2,1,TLID,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,4,S18-RS-1060,1060,2026-09-04 15:00:00+07:00,NAVI,DEWA,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,MPLID_SLOT_DEWA,2,0,NAVI,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
18,regular_season,4,S18-RS-1061,1061,2026-09-04 18:00:00+07:00,TLID,RRQ,MPLID_SLOT_AURA_LIQUID,MPLID_SLOT_RRQ,2,0,TLID,team_a,3,completed,2026-09-07,https://id-mpl.com/id/schedule
